Wariant,Run,n seedów,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference
LUNAR pojedynczy,1,2,0.859 ± 0.010,0.722 ± 0.018,0.619 ± 0.053,0.700 ± 0.017,0.656 ± 0.022,232.7 ± 56.6,9.6 ± 2.9
LUNAR pojedynczy,2,2,0.869 ± 0.007,0.739 ± 0.026,0.664 ± 0.042,0.696 ± 0.014,0.679 ± 0.015,138.2 ± 38.4,9.0 ± 1.9
LUNAR pojedynczy,3,2,0.869 ± 0.002,0.736 ± 0.003,0.670 ± 0.011,0.694 ± 0.010,0.682 ± 0.011,240.5 ± 107.2,10.0 ± 0.1
Bagging,1,2,0.859 ± 0.010,0.721 ± 0.019,0.615 ± 0.054,0.701 ± 0.017,0.654 ± 0.023,1230.2 ± 210.7,47.4 ± 12.3
Bagging,2,2,0.856 ± 0.009,0.707 ± 0.039,0.590 ± 0.067,0.698 ± 0.010,0.638 ± 0.035,699.1 ± 207.6,44.1 ± 7.2
Bagging,3,2,0.859 ± 0.010,0.721 ± 0.022,0.651 ± 0.006,0.650 ± 0.055,0.650 ± 0.030,1243.7 ± 532.6,53.7 ± 1.1
Boosting,1,2,0.859 ± 0.011,0.721 ± 0.020,0.614 ± 0.057,0.702 ± 0.020,0.653 ± 0.023,1226.7 ± 214.7,47.2 ± 12.5
Boosting,2,2,0.863 ± 0.005,0.724 ± 0.016,0.621 ± 0.030,0.697 ± 0.012,0.657 ± 0.012,700.8 ± 207.5,44.2 ± 7.1
Boosting,3,2,0.867 ± 0.001,0.734 ± 0.005,0.660 ± 0.007,0.697 ± 0.014,0.678 ± 0.010,1243.6 ± 564.1,53.0 ± 4.6
Stacking,1,2,0.859 ± 0.010,0.720 ± 0.020,0.621 ± 0.046,0.698 ± 0.013,0.657 ± 0.020,1258.6 ± 169.3,47.5 ± 11.9
Stacking,2,2,0.735 ± 0.171,0.634 ± 0.072,0.712 ± 0.221,0.592 ± 0.186,0.615 ± 0.019,744.8 ± 148.0,46.5 ± 10.5
Stacking,3,2,0.867 ± 0.000,0.734 ± 0.000,0.664 ± 0.008,0.683 ± 0.009,0.673 ± 0.000,1228.8 ± 516.0,49.3 ± 0.3
Voting,1,2,0.785 ± 0.009,0.522 ± 0.035,0.639 ± 0.058,0.690 ± 0.010,0.662 ± 0.027,1306.1 ± 101.6,48.8 ± 9.9
Voting,2,2,0.809 ± 0.015,0.563 ± 0.007,0.684 ± 0.003,0.607 ± 0.105,0.641 ± 0.061,753.0 ± 188.3,45.9 ± 9.7
Voting,3,2,0.824 ± 0.045,0.587 ± 0.055,0.683 ± 0.002,0.688 ± 0.009,0.685 ± 0.005,1233.5 ± 549.2,49.3 ± 0.1
